antena,cenario,ensaios,media_rssi,std_entre_ensaios,melhor_ensaio,pior_ensaio,media_std_interna,media_disconnects,amostras_totais,ranking
A1,BASE,3,-34.71966205837173,3.1176241949319903,-31.708791208791208,-37.934065934065934,2.123131535470625,0.0,550,1.0
A4,BASE,3,-38.97726715298936,1.8670683416873264,-37.806629834254146,-41.130434782608695,1.538044347850282,0.0,555,2.0
A3,BASE,3,-40.10052511017979,0.28353286691237856,-39.790055248618785,-40.34574468085106,1.8401379981808332,0.0,556,3.0
A0,BASE,1,-44.05833333333333,,-44.05833333333333,-44.05833333333333,1.2193598484907648,0.0,360,6.0
A5,CASE,9,-43.928176795580114,6.667308913642325,-36.005524861878456,-54.49171270718232,2.5877409590749316,0.0,1629,5.0
A4,CASE,8,-45.89788653909254,5.506931489570867,-41.785714285714285,-58.646408839779006,3.014761589725528,0.0,1447,7.0
A0,CASE,1,-56.65934065934066,,-56.65934065934066,-56.65934065934066,5.4635300757692296,0.0,182,8.0
A1,CASE,1,-58.08791208791209,,-58.08791208791209,-58.08791208791209,3.51680527943249,0.0,182,9.0
A3,CASE,1,-60.13186813186813,,-60.13186813186813,-60.13186813186813,2.2135134503023512,0.0,182,10.0
A4,CASE_ALT,1,-43.26373626373626,,-43.26373626373626,-43.26373626373626,1.7735637864606184,0.0,182,4.0
